7,oefening,standaard Frequentie (p/d),materiaal,status,categorie_nl,tags_nl,naam_nl,doel_nl,content_nl,thumbnail_nl,categorie_vls,tags_vls,naam_vls,doel_vls,content_vls,thumbnail_vls,categorie_en,tags_en,naam_en,doel_en,content_en,thumbnail_en,categorie_fr,tags_fr,naam_fr,doel_fr,content_fr,thumbnail_fr,skip_intro,skip_twee
21,"Klassieke resonans man
Doel:
-Meer draagkrachtige en doordringende stem
-betere stemplooisluiting 
- verleggen spanning van larynx naar resonatoren met als gevolg meer ontspannen fonatie",2,video,1,stem-productie,resonans,Klassieke resonans man,"Resonansoefeningen zorgen ervoor dat je de holtes boven je stemplooien optimaal gebruikt, zodat je een ontspannen, draagkrachtig en helder stemgeluid ontwikkelt.",https://streamable.com/l/rds11s/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+21+resonans+man+kopie.png,stem-productie,resonans,Klassieke resonans man,"Resonansoefeningen zorgen ervoor dat je de holtes boven je stemplooien optimaal gebruikt, zodat je een ontspannen, draagkrachtig en helder stemgeluid ontwikkelt.",https://streamable.com/l/rds11s/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+21+resonans+man+kopie.png,voice production,resonance,Classic resonance man,"Resonance exercises ensure that you use the cavities above your vocal folds optimally, so that you develop a relaxed, strong and clear voice.",https://streamable.com/l/rds11s/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+21+resonans+man+kopie.png,production vocale,résonance,Homme de résonance classique,"Les exercices de résonance garantissent que vous utilisez de manière optimale les cavités situées au-dessus de vos cordes vocales, afin de développer une voix détendue, forte et claire.",https://streamable.com/l/rds11s/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+21+resonans+man+kopie.png,122,
22,"Klassieke resonans transfer man
Doel:
-inzetten van draagkrachtige, ontspannen en ontspannen stem in dagelijkse spraak.",2,video,1,stem-productie,resonans,Klassieke resonans toepassen man,"Door het stemgeluid vanuit de resonansoefening mee te nemen naar het normale spreken, ontwikkel je een ontspannen, heldere en draagkrachtig stem.",https://streamable.com/l/q7ud9v/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+22+resonans+toepassen+man+kopie.png,stem-productie,resonans,Klassieke resonans toepassen man,"Door het stemgeluid vanuit de resonansoefening mee te nemen naar het normale spreken, ontwikkel je een ontspannen, heldere en draagkrachtig stem.",https://streamable.com/l/q7ud9v/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+22+resonans+toepassen+man+kopie.png,voice production,resonance,Applying classical resonance man,"By transferring the voice sound from the resonance exercise to normal speaking, you develop a relaxed, clear and powerful voice.",https://streamable.com/l/q7ud9v/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+22+resonans+toepassen+man+kopie.png,production vocale,résonance,Application de la résonance classique,"En transférant le son de la voix de l'exercice de résonance à la parole normale, vous développez une voix détendue, claire et puissante.",https://streamable.com/l/q7ud9v/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+22+resonans+toepassen+man+kopie.png,41,
23,"Kaakdaling
Doel:
-verbeteren verstaanbaarheid
-Grotere orale resonans
(-Beter gebruik ademsteun??)",2,video,1,stem-productie,articulatie,Kaakdaling,"Een goede kaakdaling verbetert de verstaanbaarheid, wordt het geluid beter geprojecteerd en voorkom je onnodig spanning in het keelgebied",https://streamable.com/l/7e3ssy/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+23+kaakdaling+kopie.png,stem-productie,articulatie,Kaakdaling,"Een goede kaakdaling verbetert de verstaanbaarheid, wordt het geluid beter geprojecteerd en voorkom je onnodig spanning in het keelgebied",https://streamable.com/l/7e3ssy/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+23+kaakdaling+kopie.png,voice production,articulation,Jaw drop,"A good jaw drop improves intelligibility, the sound is projected better and you prevent unnecessary tension in the throat area",https://streamable.com/l/7e3ssy/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+23+kaakdaling+kopie.png,production vocale,articulation,Réglisse de la mâchoire,"Une bonne mâchoire tombante améliore l'intelligibilité, le son est mieux projeté et vous évitez des tensions inutiles au niveau de la gorge.",https://streamable.com/l/7e3ssy/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+23+kaakdaling+kopie.png,56,
24,"Lipronding
Doel:
-Verbeteren verstaanbaarheid 
-beter gebruik ademsteun
-Grotere orale resonans",2,video,1,stem-productie,articulatie,Lipronding,Een goede lipronding verbetert de verstaanbaarheid en wordt het geluid beter geprojecteerd.,https://streamable.com/l/cru9w4/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+24+lipronding+kopie.png,stem-productie,articulatie,Lipronding,Een goede lipronding verbetert de verstaanbaarheid en wordt het geluid beter geprojecteerd.,https://streamable.com/l/cru9w4/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+24+lipronding+kopie.png,voice production,articulation,Lip rounding,A good lip rounding improves intelligibility and the sound is projected better.,https://streamable.com/l/cru9w4/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+24+lipronding+kopie.png,production vocale,articulation,Arrondi des lèvres,Un bon arrondi des lèvres améliore l’intelligibilité et le son est mieux projeté.,https://streamable.com/l/cru9w4/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+24+lipronding+kopie.png,15,
25,"Kurkoefening
Doel:
-Verbeteren verstaanbaarheid 
-beter gebruik ademsteun
-Grotere orale resonans",2,video,1,stem-productie,articulatie,Kurkoefening,"Bij de kurkoefening wordt een overdreven articulatie getraind, waardoor de verstaanbaarheid verbetert.",https://streamable.com/l/eryqsc/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+25+kurkoefening+kopie.png,stem-productie,articulatie,Kurkoefening,"Bij de kurkoefening wordt een overdreven articulatie getraind, waardoor de verstaanbaarheid verbetert.",https://streamable.com/l/eryqsc/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+25+kurkoefening+kopie.png,voice production,articulation,Cork exercise,"The corking exercise trains exaggerated articulation, which improves intelligibility.",https://streamable.com/l/eryqsc/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+25+cork exercise+kopie.png,production vocale,articulation,Exercice de liège,"L'exercice de bouchage entraîne une articulation exagérée, ce qui améliore l'intelligibilité.",https://streamable.com/l/eryqsc/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+25+cork exercer+kopie.png,111,
26,"Tongtriller
Doel:
-Ontspanning kaak en tongbasis
-Verhogen ademsteun",2,video,1,spanning,Relaxatie fonatie,Tongtriller,Een tongtriller zorgt voor ontspanning in je keel en een goede stembandsluiting. Daarnaast vermindert de oefening ook de spanning in (de achterkant van) je tong.,https://streamable.com/l/9fbwma/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+26+tongtriller+kopie.png,spanning,Relaxatie fonatie,Tongtriller,Een tongtriller zorgt voor ontspanning in je keel en een goede stembandsluiting. Daarnaast vermindert de oefening ook de spanning in (de achterkant van) je tong.,https://streamable.com/l/9fbwma/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+26+tongtriller+kopie.png,tension,Relaxation phonation,Tongue twitch,"A tongue vibrator ensures relaxation in your throat and good vocal cord closure. In addition, the exercise also reduces tension in (the back of) your tongue.",https://streamable.com/l/9fbwma/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+26+tongtriller+kopie.png,tension,Phonation de relaxation,Contraction de la langue,"Un vibrateur de langue assure une détente dans votre gorge et une bonne fermeture des cordes vocales. De plus, l’exercice réduit également la tension à l’arrière de votre langue.",https://streamable.com/l/9fbwma/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+26+tongtriller+kopie.png,39,
28,Kaakdaling,2,tekst,1,transfer oefenmateriaal,articulatie,Kaakdaling,-,"‘Waarom huil je?’ vraagt Rayen. Hij kijkt naar het huis. ‘Het is niet eerlijk.’ zegt Laura en ze trapt tegen het houten hek. De mannen en vrouwen dragen verhuisdozen naar de vrachtauto. Rayen haalt zijn schouders op. ‘Het is maar Zeeland.’ ‘Het is veel te ver. Wanneer zie ik je dan nog?’ vraagt Laura. ‘Wat denk je van maandag?’ Rayen kruipt in een doos. Laura barst in lachen uit. ‘Plak er maar een sticker op,’ zegt Rayen, ‘dan word ik maandag al thuisbezorgd.’",https://voicebuddy.s3.eu-central-1.amazonaws.com/lezen-a-z.png,transfer oefenmateriaal,articulatie,Kaakdaling,-,"‘Waarom huil je?’ vraagt Rayen. Hij kijkt naar het huis. ‘Het is niet eerlijk.’ zegt Laura en ze trapt tegen het houten hek. De mannen en vrouwen dragen verhuisdozen naar de vrachtauto. Rayen haalt zijn schouders op. ‘Het is maar Zeeland.’ ‘Het is veel te ver. Wanneer zie ik je dan nog?’ vraagt Laura. ‘Wat denk je van maandag?’ Rayen kruipt in een doos. Laura barst in lachen uit. ‘Plak er maar een sticker op,’ zegt Rayen, ‘dan word ik maandag al thuisbezorgd.’",https://voicebuddy.s3.eu-central-1.amazonaws.com/lezen-a-z.png,transfer practice material,articulation,Jaw drop,-,"“Why are you crying?” Rayen asks. He looks at the house. “It's not fair.” Laura says and kicks the wooden fence. The men and women carry moving boxes to the truck. Rayen shrugs. “It's only Zeeland.” “It's way too far. When will I see you again?' Laura asks. “How about Monday?” Rayen crawls into a box. Laura bursts out laughing. “Just stick a sticker on it,” says Rayen, “and it will be delivered to my home on Monday.”",https://voicebuddy.s3.eu-central-1.amazonaws.com/lezen-a-z.png,matériel de pratique de transfert,articulation,Réglisse de la mâchoire,-,"""Pourquoi pleures-tu?"" » demande Rayen. Il regarde la maison. ""Ce n'est pas juste."" » Laura dit et donne un coup de pied dans la clôture en bois. Les hommes et les femmes transportent des cartons de déménagement jusqu'au camion. Rayen hausse les épaules. ""C'est seulement la Zélande."" «C'est bien trop loin. Quand te reverrai-je?' demande Laura. ""Et lundi?"" Rayen rampe dans une boîte. Laura éclate de rire. « Collez simplement un autocollant dessus », explique Rayen, « et il sera livré chez moi lundi. »",https://voicebuddy.s3.eu-central-1.amazonaws.com/lezen-a-z.png,,
29,lipronding,2,tekst,1,transfer oefenmateriaal,articulatie,lipronding,-,"Mo de mot kroop in de kast. Er hingen broeken in allerlei kleuren. De leukste was de rode. Toen Mo nog een larve was, had hij er een minuscuul hapje uit genomen. De broek was niet alleen mooi, hij smaakte ook goed, naar zure matten. Mo wilde er ook wel één. Plots vloog de kastdeur open. Met een ruk trok Laura de broek eruit. ‘Bah, een mot!’ zei Rayen. ‘Nee, dat is mijn vlinder.’ antwoordde Laura. Ze duwde de deur dicht. Mo was de broek acuut vergeten. Nog nooit had iemand hem zo genoemd. Uren vloog hij rondjes door de kast.",https://voicebuddy.s3.eu-central-1.amazonaws.com/lezen-a-z.png,transfer oefenmateriaal,articulatie,lipronding,-,"Mo de mot kroop in de kast. Er hingen broeken in allerlei kleuren. De leukste was de rode. Toen Mo nog een larve was, had hij er een minuscuul hapje uit genomen. De broek was niet alleen mooi, hij smaakte ook goed, naar zure matten. Mo wilde er ook wel één. Plots vloog de kastdeur open. Met een ruk trok Laura de broek eruit. ‘Bah, een mot!’ zei Rayen. ‘Nee, dat is mijn vlinder.’ antwoordde Laura. Ze duwde de deur dicht. Mo was de broek acuut vergeten. Nog nooit had iemand hem zo genoemd. Uren vloog hij rondjes door de kast.",https://voicebuddy.s3.eu-central-1.amazonaws.com/lezen-a-z.png,transfer practice material,articulation,lip rounding,-,"Mo the moth crawled into the cupboard. There were pants in all kinds of colors. The nicest was the red one. When Mo was still a larva, he had taken a tiny bite out of it. The pants were not only beautiful, they also tasted good, like sour mats. Mo wanted one too. Suddenly the closet door flew open. Laura pulled the pants off with a jerk. “Bah, a moth!” said Rayen. “No, that's my butterfly.” Laura replied. She pushed the door closed. Mo had suddenly forgotten the pants. No one had ever called him that before. He flew around the cupboard for hours.",https://voicebuddy.s3.eu-central-1.amazonaws.com/lezen-a-z.png,matériel de pratique de transfert,articulation,arrondi des lèvres,-,"Mo le papillon a rampé dans le placard. Il y avait des pantalons de toutes sortes de couleurs. Le plus beau était le rouge. Quand Mo n’était encore qu’une larve, il en avait pris une petite bouchée. Les pantalons n'étaient pas seulement beaux, ils avaient aussi bon goût, comme des nattes aigres. Mo en voulait un aussi. Soudain, la porte du placard s’ouvrit. Laura ôta le pantalon d'un coup sec. ""Bah, un papillon de nuit !"" » dit Rayen. ""Non, c'est mon papillon."" Laura a répondu. Elle poussa la porte pour la fermer. Mo avait soudainement oublié le pantalon. Personne ne l'avait jamais appelé ainsi auparavant. Il a volé autour du placard pendant des heures.",https://voicebuddy.s3.eu-central-1.amazonaws.com/lezen-a-z.png,,
30,"kurkoefening
Doel:
-Verbeteren verstaanbaarheid 
-beter gebruik ademsteun
-Grotere orale resonans",2,tekst,1,transfer oefenmateriaal,articulatie,kurkoefening,"Bij de kurkoefening wordt een overdreven articulatie getraind, waardoor de verstaanbaarheid verbetert.","O<b>p</b> <b>W</b>oensdag eet Rayen <b>b</b>ij Laura. <b>M</b>et z’n <b>v</b>ij<b>v</b>en o<b>m</b> de grote ta<b>f</b>el. Thuis, <b>b</b>ij zijn <b>v</b>ader, eten ze <b>m</b>et een <b>b</b>ord o<b>p</b> schoot, en <b>v</b>oet<b>b</b>al o<b>p</b> tee<b>v</b>ee. Hier staan <b>f</b>linke <b>p</b>annen o<b>p</b> ze te <b>w</b>achten, <b>v</b>ol <b>p</b>asta en <b>b</b>olognesesaus. O<b>m</b> er<b>v</b>oor te zorgen dat Laura’s <b>b</b>roertje ook <b>m</b>ee eet, <b>m</b>aakt Laura’s <b>m</b>oeder een <b>v</b>liegtuig <b>v</b>an de <b>v</b>ork. Het <b>v</b>lees <b>v</b>alt er<b>v</b>an a<b>f</b>, een noodlanding o<b>p</b> de grond. <b>M</b>onster, de kat, is er <b>v</b>lug <b>b</b>ij. Laura’s <b>v</b>ader <b>p</b>rikt <b>w</b>at <b>p</b>asta o<b>p</b> zijn <b>v</b>ork. ‘En, Rayen, jongen, <b>w</b>at <b>w</b>il jij later <b>w</b>orden?’ Hij <b>w</b>eet het <b>m</b>eteen. ‘Een gezin.’ ant<b>w</b>oord hij.",https://voicebuddy.s3.eu-central-1.amazonaws.com/lezen-a-z.png,transfer oefenmateriaal,articulatie,kurkoefening,"Bij de kurkoefening wordt een overdreven articulatie getraind, waardoor de verstaanbaarheid verbetert.","O<b>p</b> <b>W</b>oensdag eet Rayen <b>b</b>ij Laura. <b>M</b>et z’n <b>v</b>ij<b>v</b>en o<b>m</b> de grote ta<b>f</b>el. Thuis, <b>b</b>ij zijn <b>v</b>ader, eten ze <b>m</b>et een <b>b</b>ord o<b>p</b> schoot, en <b>v</b>oet<b>b</b>al o<b>p</b> tee<b>v</b>ee. Hier staan <b>f</b>linke <b>p</b>annen o<b>p</b> ze te <b>w</b>achten, <b>v</b>ol <b>p</b>asta en <b>b</b>olognesesaus. O<b>m</b> er<b>v</b>oor te zorgen dat Laura’s <b>b</b>roertje ook <b>m</b>ee eet, <b>m</b>aakt Laura’s <b>m</b>oeder een <b>v</b>liegtuig <b>v</b>an de <b>v</b>ork. Het <b>v</b>lees <b>v</b>alt er<b>v</b>an a<b>f</b>, een noodlanding o<b>p</b> de grond. <b>M</b>onster, de kat, is er <b>v</b>lug <b>b</b>ij. Laura’s <b>v</b>ader <b>p</b>rikt <b>w</b>at <b>p</b>asta o<b>p</b> zijn <b>v</b>ork. ‘En, Rayen, jongen, <b>w</b>at <b>w</b>il jij later <b>w</b>orden?’ Hij <b>w</b>eet het <b>m</b>eteen. ‘Een gezin.’ ant<b>w</b>oord hij.",https://voicebuddy.s3.eu-central-1.amazonaws.com/lezen-a-z.png,transfer practice material,articulation,corking exercise,"The corking exercise trains exaggerated articulation, which improves intelligibility.","O<b>p</b> <b>Wednesday Rayen is having dinner with Laura. <b>With his <b>ij<b>v</b>and o<b>m</b> the big ta<b>f</b> el. At home, they are <b>f</b>others, they eat <b>me</b>ord o<b>p</b> b> lap, and <b>v</b>oet<b>al o<b>p</b> tee<b>v</b>ee. Here are <b>linke <b>annen o<b>p</b> to respect them, <b>v</b>ol <b>p</b>asta and <b>olognese sauce. To ensure that Laura's <b>stirrel also eats <b>m</b>ee, <b>m</b> makes Laura's <b>m</b>father a lieutenant <b>of</b> the <b>ork. It <b>v</b>read <b>v</b>alt there<b>v</b>an a<b>f</b>, an emergency landing o<b>p</b> the ground. <b>M</b>onster, the cat, has been there since. Laura's <b>v</b>ader <b>p</b>rikt <b>at <b>p</b>asta o<b>p</b> his <b> v</b>ork. “And, Rayen, boy, what will you eat later?” He <b>w</b>eats it < b>m</b>eteen. “A family.” he replied.",https://voicebuddy.s3.eu-central-1.amazonaws.com/lezen-a-z.png,matériel de pratique de transfert,articulation,exercice de bouchage,"L'exercice de bouchage entraîne une articulation exagérée, ce qui améliore l'intelligibilité.","O<b>p</b> <b>Mercredi, Rayen dîne avec Laura. <b>Avec son <b>ij<b>v</b> et o<b>m</b> le grand ta<b>f</b> el. À la maison, ils sont <b>pour</b> les autres, ils mangent <b>moi</b>ord o<b>p</b> b> tour, et <b>v</b>oet< b>al o<b>p</b>tee<b>v</b>ee. Voici les <b>linke <b>annen o<b>p</b> pour les respecter, <b>v</b>ol <b>p</b>asta et <b>sauce lognaise. Pour s'assurer que <b>l'agitateur de Laura mange aussi <b>moi</b>ee, <b>m</b> fait du <b>mère</b>père de Laura un lieutenant <b>de</b> le <b>orc. Il <b>v</b>lu <b>v</b>alt là<b>v</b>un a<b>f</b>, un atterrissage d'urgence o<b>p</b > le sol. <b>M</b>onster, le chat, est là depuis. Le <b>v</b>ader <b>p</b>rikt <b>à <b>p</b>asta o<b>p</b> son <b> v</b> orc. ""Et, Rayen, mon garçon, qu'est-ce que tu mangeras plus tard?"" Il<b>w</b>le mange<b>moi</b>eeen. ""Une famille."" il a répondu.",https://voicebuddy.s3.eu-central-1.amazonaws.com/lezen-a-z.png,,
31,Alveolaire rand,2,tekst,1,transfer oefenmateriaal,articulatie,Alveolaire rand,-,"Op woe<b>nsd</b>ag ee<b>t</b> Raye<b>n</b> bij <b>L</b>aura. Me<b>t</b> <b>z</b>`<b>n</b> vijve<b>n</b> om <b>d</b>e gro<b>t</b>e <b>t</b>afe<b>l</b>. <b>T</b>hui<b>s</b>, bij <b>z</b>ijn va<b>d</b>er, e<b>t</b>e<b>n</b> <b>z</b>e me<b>t</b> ee<b>n</b> bor<b>d</b> op <b>s</b>choo<b>t</b>, e<b>n</b> voe<b>t</b>a<b>l</b> op <b>t</b>eevee. Hier <b>st</b>aa<b>n</b> f<b>l</b>i<b>n</b>ke pa<b>nn</b>e<b>n</b> op <b>z</b>e <b>t</b>e wach<b>t</b>e<b>n</b>, vo<b>l</b> pa<b>st</b>a e<b>n</b> bo<b>l</b>og<b>n</b>e<b>s</b>e<b>s</b>au<b>s</b>. Om ervoor <b>t</b>e <b>z</b>orge<b>n</b> <b>d</b>a<b>t</b> <b>L</b>aura`<b>s</b> broer<b>t</b>je ook mee ee<b>t</b>, maak<b>t</b> <b>L</b>aura`<b>s</b> moe<b>d</b>er ee<b>n</b> v<b>l</b>ieg<b>t</b>uig va<b>n</b> <b>d</b>e vork. He<b>t</b> v<b>l</b>ee<b>s</b> va<b>lt</b> erva<b>n</b> af, ee<b>n</b> <b>n</b>oo<b>dl</b>a<b>nd</b>i<b>n</b>g op <b>d</b>e gro<b>nd</b>. Mo<b>nst</b>er, <b>d</b>e ka<b>t</b>, i<b>s</b> er v<b>l</b>ug bij. <b>L</b>aura`<b>s</b> va<b>d</b>er prik<b>t</b> wa<b>t</b> pa<b>st</b>a op <b>z</b>ij<b>n</b> vork. ‘E<b>n</b>, Raye<b>n</b>, jo<b>n</b>ge<b>n</b>, wa<b>t</b> wi<b>l</b> jij <b>l</b>a<b>t</b>er wor<b>d</b>e<b>n</b>?’ Hij wee<b>t</b> he<b>t</b> me<b>t</b>ee<b>n</b>. ‘Ee<b>n</b> ge<b>z</b>i<b>n</b>. ’a<b>n</b>woor<b>d</b> hij.",https://voicebuddy.s3.eu-central-1.amazonaws.com/lezen-a-z.png,transfer oefenmateriaal,articulatie,Alveolaire rand,-,"Op woe<b>nsd</b>ag ee<b>t</b> Raye<b>n</b> bij <b>L</b>aura. Me<b>t</b> <b>z</b>`<b>n</b> vijve<b>n</b> om <b>d</b>e gro<b>t</b>e <b>t</b>afe<b>l</b>. <b>T</b>hui<b>s</b>, bij <b>z</b>ijn va<b>d</b>er, e<b>t</b>e<b>n</b> <b>z</b>e me<b>t</b> ee<b>n</b> bor<b>d</b> op <b>s</b>choo<b>t</b>, e<b>n</b> voe<b>t</b>a<b>l</b> op <b>t</b>eevee. Hier <b>st</b>aa<b>n</b> f<b>l</b>i<b>n</b>ke pa<b>nn</b>e<b>n</b> op <b>z</b>e <b>t</b>e wach<b>t</b>e<b>n</b>, vo<b>l</b> pa<b>st</b>a e<b>n</b> bo<b>l</b>og<b>n</b>e<b>s</b>e<b>s</b>au<b>s</b>. Om ervoor <b>t</b>e <b>z</b>orge<b>n</b> <b>d</b>a<b>t</b> <b>L</b>aura`<b>s</b> broer<b>t</b>je ook mee ee<b>t</b>, maak<b>t</b> <b>L</b>aura`<b>s</b> moe<b>d</b>er ee<b>n</b> v<b>l</b>ieg<b>t</b>uig va<b>n</b> <b>d</b>e vork. He<b>t</b> v<b>l</b>ee<b>s</b> va<b>lt</b> erva<b>n</b> af, ee<b>n</b> <b>n</b>oo<b>dl</b>a<b>nd</b>i<b>n</b>g op <b>d</b>e gro<b>nd</b>. Mo<b>nst</b>er, <b>d</b>e ka<b>t</b>, i<b>s</b> er v<b>l</b>ug bij. <b>L</b>aura`<b>s</b> va<b>d</b>er prik<b>t</b> wa<b>t</b> pa<b>st</b>a op <b>z</b>ij<b>n</b> vork. ‘E<b>n</b>, Raye<b>n</b>, jo<b>n</b>ge<b>n</b>, wa<b>t</b> wi<b>l</b> jij <b>l</b>a<b>t</b>er wor<b>d</b>e<b>n</b>?’ Hij wee<b>t</b> he<b>t</b> me<b>t</b>ee<b>n</b>. ‘Ee<b>n</b> ge<b>z</b>i<b>n</b>. ’a<b>n</b>woor<b>d</b> hij.",https://voicebuddy.s3.eu-central-1.amazonaws.com/lezen-a-z.png,transfer practice material,articulation,Alveolar ridge,-,"On Wednesday ee<b>t</b> Raye<b>n</b> at <b>L</b>aura. With<b>t</b>z</b>`<b>n</b> fives for <b>the</b>nd large </b>e <b>t</b>afe<b>l</b>. <b>T</b>hui<b>s</b>, by <b>his va<b>d</b>er, e<b>t</b>e< b>n</b> <b>z</b>e me<b>t</b> ee<b>n</b> bor<b>d</b> on <b>s</b> b>choo<b>t</b>, e<b>n</b> foo<b>t</b>a<b>l</b> on <b>t</b>eevee. Here <b>st</b>aa<b>n</b> f<b>l</b>i<b>n</b>ke pa<b>nn</b>e<b> n</b>on <b>z</b>e <b>t</b>e wait<b>t</b>e<b>n</b>, fo<b>l</b> b> pa<b>st</b>a e<b>n</b> bo<b>l</b>og<b>n</b>e<b>s</b>e<b >s</b>au<b>s</b>. To ensure <b>t</b>e <b>orge<b>n</b> <b>d</b>a<b>t</b> <b>L< /b>aura`<b>s</b> brother<b>t</b>you also join us, make<b>t</b> <b>L</b> b>aura`<b>s</b> tired<b>d</b>er ee<b>n</b> f<b>l</b>ieg<b>t</b>uig from<b>n</b> <b>th fork. He<b>t</b>v<b>l</b>eee<b>s</b> va<b>lt</b> of experience, ee<b> >n</b> <b>n</b>oo<b>dl</b>a<b>nd</b>i<b>n</b>g on <b>d</b >e gr<b>nd</b>. Mo<b>nst</b>er, <b>d</b>e ka<b>t</b>, i<b>s</b>er v<b>l</b>ug bee. <b>L</b>aura`<b>s</b> va<b>d</b>er sting<b>t</b> wa<b>t</b> pa<b> st</b>a on <b>z</b>y<b>n</b> fork. 'E<b>n</b>, Raye<b>n</b>, jo<b>n</b>ge<b>n</b>, wa<b>t</b> wi <b>l</b>you <b>l</b>a<b>t</b>there wor<b>d</b>e<b>n</b>?' He weep< b>t</b>he<b>t</b>me<b>t</b>ee<b>n</b>. ‘Ee<b>n</b> ge<b>z</b>i<b>n</b>. 'a<b>n</b>word</b>d</b> he.",https://voicebuddy.s3.eu-central-1.amazonaws.com/lezen-a-z.png,matériel de pratique de transfert,articulation,Crête alvéolaire,-,"Mercredi, ee<b>t</b> Raye<b>n</b> à <b>L</b>aura. Avec<b>t</b>z</b>`<b>n</b> cinq pour <b>le</b>ème grand</b>e <b>t</b>afe< b>l</b>. <b>T</b>hui<b>s</b>, par <b>son va<b>d</b>er, e<b>t</b>e< b>n</ b> <b>z</b>e me<b>t</b> ee<b>n</b> bor<b>d</b> sur <b>s</b> b>choo <b>t</b>, e<b>n</b> foo<b>t</b>a<b>l</b> sur <b>t</b>évoli. Ici <b>st</b>aa<b>n</b> f<b>l</b>i<b>n</b>ke pa<b>nn</b>e<b> n</b>sur <b>z</b>e <b>t</b>e attendez<b>t</b>e<b>n</b>, pour<b>l</ b> b> pa<b>st</b>a e<b>n</b> bo<b>l</b>og<b>n</b>e<b>s</b>e <b>s</b>au<b>s</b>. Pour assurer <b>t</b>e <b>orge<b>n</b> <b>d</b>a<b>t</b> <b>L</b>aura` <b>s</b> frère<b>t</b>tu nous rejoins aussi, fais<b>t</b> <b>L</b> b>aura`<b>s</b > fatigué<b>d</b>er ee<b>n</b> f<b>l</b>ieg<b>t</b>uig de<b>n</b> <b >ème fourchette. Il<b>t</b>l</b>eee<b>s</b> va<b>lt</b> d'expérience, ee<b> >n</b> < b>n< /b>oo<b>dl</b>a<b>nd</b>i<b>n</b>g sur <b>d</b>e gr<b>nd </b> . Mo<b>nst</b>er, <b>e ka<b>t</b>, je<b>s</b>er f<b>l</b>ug bee. <b>L</b>aura`<b>s</b> va<b>d</b>er sting<b>t</b> wa<b>t</b> pa<b> st</b>a sur la fourchette <b>z</b>y<b>n</b>. 'E<b>n</b>, Raye<b>n</b>, jo<b>n</b>ge<b>n</b>, wa<b>t</b> wi <b>l</b>vous <b>l</b>a<b>t</b>là <b>d</b>e<b>n</b> ?' Il a pleuré<b>t</b>il<b>t</b>me<b>t</b>ee<b>n</b>. 'Ee<b>n</b> ge<b>z</b>i<b>n</b>. 'un<b>n</b>mot</b>d</b>il.",https://voicebuddy.s3.eu-central-1.amazonaws.com/lezen-a-z.png,,
